ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
826,1923,.040441018,.088069066,.050552379,.12796044,.13999198,.16900581,0,0,0,0,0,0,0,1,.031168554,.050374381,-.08471252,-.06236051,.024387,.012569,.028549001,-.0077209999
826,1924,.047628049,.010111362,.08751943,.09955097,.12856479,.12138987,0,0,0,0,0,0,0,0,.040441018,.031168554,.050374381,-.08471252,.012726,.024387,.012569,.028549001
826,1925,-.037516687,.039891381,.051922917,.080936737,.073761821,.021093801,0,0,0,0,0,0,0,0,.047628049,.040441018,.031168554,.050374381,.011128,.012726,.024387,.012569
826,1926,.077408068,.089439608,.11845343,.11127851,.058610491,.066171966,0,0,0,0,0,0,0,0,-.037516687,.047628049,.040441018,.031168554,.027626,.011128,.012726,.024387
826,1927,.012031537,.04104536,.03387044,-.01879758,-.011236107,.017536219,0,0,0,0,0,0,0,0,.077408068,-.037516687,.047628049,.040441018,-.0073770001,.027626,.011128,.012726
826,1928,.029013822,.021838903,-.030829117,-.023267644,.0055046827,.069299437,0,0,0,0,0,0,0,0,.012031537,.077408068,-.037516687,.047628049,.014996,-.0073770001,.027626,.011128
826,1929,-.0071749189,-.05984294,-.052281469,-.023509143,.04028561,.078184932,0,0,0,0,0,0,0,0,.029013822,.012031537,.077408068,-.037516687,.0078149997,.014996,-.0073770001,.027626
826,1930,-.05266802,-.045106549,-.016334223,.047460534,.085359856,.1298116,0,0,0,0,0,0,0,0,-.0071749189,.029013822,.012031537,.077408068,-.0056179999,.0078149997,.014996,-.0073770001
826,1931,.0075614727,.036333799,.10012855,.13802788,.18247962,.21667102,0,0,0,0,0,0,0,0,-.05266802,-.0071749189,.029013822,.012031537,.024891,-.0056179999,.0078149997,.014996
826,1932,.028772326,.092567079,.1304664,.17491814,.20910954,.22125852,0,0,0,0,0,0,0,0,.0075614727,-.05266802,-.0071749189,.029013822,-.026373001,.024891,-.0056179999,.0078149997
826,1933,.063794754,.10169408,.14614582,.18033722,.1924862,,0,0,0,0,0,0,0,0,.028772326,.0075614727,-.05266802,-.0071749189,-.0075929998,-.026373001,.024891,-.0056179999
826,1934,.037899327,.082351074,.11654247,.12869143,,,0,0,0,0,0,0,0,0,.063794754,.028772326,.0075614727,-.05266802,.0049859998,-.0075929998,-.026373001,.024891
826,1935,.044451743,.078643136,.090792105,,,,0,0,0,0,0,0,0,0,.037899327,.063794754,.028772326,.0075614727,.0029549999,.0049859998,-.0075929998,-.026373001
