COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,66,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,0,1308.691404496547,1307.132010694346,1306.590469213817,1308.182845280056,0,0,0,0
1,67,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,0,1311.591614943725,1308.691404496547,1307.132010694346,1306.590469213817,0,0,0,0
1,68,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,0,1312.95295873952,1311.591614943725,1308.691404496547,1307.132010694346,0,0,0,0
1,69,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,0,1314.917833074081,1312.95295873952,1311.591614943725,1308.691404496547,0,0,0,0
1,70,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,0,1317.79412422473,1314.917833074081,1312.95295873952,1311.591614943725,0,0,0,0
1,71,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,0,1319.233907265827,1317.79412422473,1314.917833074081,1312.95295873952,0,0,0,0
1,72,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,0,1320.207260926191,1319.233907265827,1317.79412422473,1314.917833074081,0,0,0,0
1,73,1324.509097051915,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,0,1322.416692584366,1320.207260926191,1319.233907265827,1317.79412422473,0,0,0,0
1,74,1326.414478030445,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,0,1324.509097051915,1322.416692584366,1320.207260926191,1319.233907265827,0,0,0,0
1,75,1329.78990290391,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,0,1326.414478030445,1324.509097051915,1322.416692584366,1320.207260926191,0,0,0,0
1,76,1331.351249135974,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,0,1329.78990290391,1326.414478030445,1324.509097051915,1322.416692584366,0,0,0,0
1,77,1333.138662659329,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,0,1331.351249135974,1329.78990290391,1326.414478030445,1324.509097051915,0,0,0,0
1,78,1336.230482820784,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,0,1333.138662659329,1331.351249135974,1329.78990290391,1326.414478030445,0,0,0,0
1,79,1337.543211013562,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,0,1336.230482820784,1333.138662659329,1331.351249135974,1329.78990290391,0,0,0,0
1,80,1339.740050698422,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,0,1337.543211013562,1336.230482820784,1333.138662659329,1331.351249135974,0,0,0,0
1,81,1341.56661483526,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,0,1339.740050698422,1337.543211013562,1336.230482820784,1333.138662659329,0,0,0,0
1,82,1341.284965180758,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,0,1341.56661483526,1339.740050698422,1337.543211013562,1336.230482820784,0,0,0,0
1,83,1343.209481999462,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,0,1341.284965180758,1341.56661483526,1339.740050698422,1337.543211013562,0,0,0,0
